method,stage,epsilon,delta,accounted_epsilon,accuracy,balanced_accuracy,precision,recall,f1,mcc,cohen_kappa,specificity,npv,fpr,auc_roc,avg_precision,log_loss
LogisticRegression,BASELINE,,,,0.8651371692158291,0.8854359285815369,0.4512,0.9116379310344828,0.6036389582590082,0.5812771748717518,0.5333045333375759,0.859233926128591,0.9871129970139871,0.14076607387140902,0.9438384475682815,0.6222511202341583,0.3524618639158131
RandomForestClassifier,BASELINE,,,,0.884316581694586,0.8863647754611066,0.4925373134328358,0.8890086206896551,0.6338839800230504,0.607018028329813,0.5718060287168919,0.8837209302325582,0.9843059576413226,0.11627906976744186,0.9496435562998254,0.673816871893786,0.27503562286201483
PreDP_Laplace_LR,PREPROCESSING_DP,0.1,1e-05,0.1,0.8873512988589464,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.8873512988589464,0.0,0.7406294223784141,0.3639725751095346,0.6889304587836764
PreDP_Gaussian_LR,PREPROCESSING_DP,0.1,1e-05,0.1,0.8873512988589464,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.8873512988589464,0.0,0.7844939619793386,0.3560879510391191,0.689373818584873
DP_SGD_Linear_Opacus,DP_SGD,0.1,1e-05,0.09292268312516064,0.9090798737557659,0.6778220670786358,0.6704761904761904,0.3793103448275862,0.4845147969717825,0.4603169947834531,0.4388331353416979,0.9763337893296854,0.9253208868144691,0.023666210670314637,0.9325762712863815,0.616731780058635,0.23868201113447732
PostDP_Laplace_LR_proba,POSTPROCESSING_DP,0.1,1e-05,0.1,0.5250060694343287,0.5197350110854286,0.12090424180848362,0.5129310344827587,0.19568345323741007,0.024982311446197326,0.016340889837348604,0.5265389876880985,0.8949081608928157,0.4734610123119015,0.5175547785272889,0.11665160844172379,15.772281769173414
PostDP_Laplace_RF_proba,POSTPROCESSING_DP,0.1,1e-05,0.1,0.5176013595532897,0.5080363460540591,0.11598587997982854,0.4956896551724138,0.1879852881078872,0.01017019605308958,0.006616847326406883,0.5203830369357045,0.8904494382022472,0.47961696306429547,0.5090604214821455,0.1155982278512948,15.877514356800546
PostDP_Gaussian_LR_proba,POSTPROCESSING_DP,0.1,1e-05,0.1,0.49283806749210973,0.4983164005377612,0.11198662846227316,0.5053879310344828,0.1833463643471462,-0.0021294654712914495,-0.0013290787916448998,0.49124487004103967,0.8866666666666667,0.5087551299589603,0.4973149529458937,0.1119674254288954,17.360011975175073
PostDP_Gaussian_RF_proba,POSTPROCESSING_DP,0.1,1e-05,0.1,0.504734158776402,0.5040787596113023,0.11429270680372002,0.5032327586206896,0.18627842042281612,0.005158375212292407,0.0032820393837609263,0.5049247606019152,0.8889691714836223,0.4950752393980848,0.503362481720836,0.11348048995958301,16.972452562744518
PreDP_Laplace_LR,PREPROCESSING_DP,0.5,1e-05,0.5,0.8642874484098082,0.7259640784942686,0.42122719734660036,0.5474137931034483,0.4761012183692596,0.4041931900767598,0.39966428437897694,0.9045143638850889,0.9402730375426621,0.09548563611491108,0.8704393485541772,0.48926299598103795,0.6824309472784231
PreDP_Gaussian_LR,PREPROCESSING_DP,0.5,1e-05,0.5,0.8871085214857976,0.5003335947450351,0.25,0.0010775862068965517,0.002145922746781116,0.009575168958292869,0.0011801222153966506,0.9995896032831737,0.8874180228321593,0.0004103967168262654,0.7632705257323459,0.3151263763580051,0.6897676650057838
DP_SGD_Linear_Opacus,DP_SGD,0.5,1e-05,0.4912891477110818,0.9092012624423403,0.6731865300250012,0.6785714285714286,0.36853448275862066,0.4776536312849162,0.4569402667822461,0.43266719403921705,0.9778385772913817,0.9242306697698475,0.02216142270861833,0.9355066866361619,0.6203618466615618,0.23523689782050808
PostDP_Laplace_LR_proba,POSTPROCESSING_DP,0.5,1e-05,0.5,0.5796309783928137,0.5763864156328129,0.14762301918265222,0.572198275862069,0.2346961325966851,0.09738740657713994,0.06773404640998026,0.5805745554035567,0.9144580909286791,0.4194254445964432,0.5792518220199065,0.13666209069156998,11.529916416813023
PostDP_Laplace_RF_proba,POSTPROCESSING_DP,0.5,1e-05,0.5,0.5683418305413935,0.5497983395443181,0.13540510543840178,0.5258620689655172,0.21535745807590467,0.06347564585284815,0.04409325817559673,0.573734610123119,0.9050496331463099,0.426265389876881,0.556367930091042,0.12808203231592388,11.94189760517514
PostDP_Gaussian_LR_proba,POSTPROCESSING_DP,0.5,1e-05,0.5,0.50412721534353,0.5079703052030756,0.11584327086882454,0.5129310344827587,0.18900138971610086,0.010079688526288778,0.006385638195630872,0.5030095759233926,0.8905303947687091,0.4969904240766074,0.5087386197462145,0.11431729488011794,16.329072884428392
PostDP_Gaussian_RF_proba,POSTPROCESSING_DP,0.5,1e-05,0.5,0.5157805292546734,0.5121846844190764,0.11766175368473644,0.5075431034482759,0.19103630095315352,0.015415494313905346,0.009961071956775203,0.5168262653898769,0.8920897284533649,0.48317373461012314,0.5132498142601065,0.11632900066925614,16.06221802303069
PreDP_Laplace_LR,PREPROCESSING_DP,1.0,1e-05,1.0,0.7836853605243991,0.7699216354545027,0.31022222222222223,0.7521551724137931,0.4392699811202014,0.38306124337452613,0.3328543374396098,0.787688098495212,0.9615898463593855,0.21231190150478796,0.8748385831878862,0.5042561724342951,0.6671065206484362
PreDP_Gaussian_LR,PREPROCESSING_DP,1.0,1e-05,1.0,0.885773245933479,0.6303506356431907,0.4886164623467601,0.30064655172413796,0.3722481654436291,0.3245226695100354,0.31331671418495866,0.9600547195622435,0.9153515064562411,0.0399452804377565,0.8234744268597575,0.39147389667217747,0.6885004729086078
DP_SGD_Linear_Opacus,DP_SGD,1.0,1e-05,0.9980429758040466,0.9088370963826171,0.6720405443653003,0.6759443339960238,0.36637931034482757,0.4751921733053808,0.4543382791567244,0.4300569045998115,0.9777017783857729,0.9239819004524887,0.022298221614227086,0.9355952816170575,0.6203616247713517,0.23524864185124483
PostDP_Laplace_LR_proba,POSTPROCESSING_DP,1.0,1e-05,1.0,0.6359553289633406,0.631643444266239,0.17970924837612126,0.6260775862068966,0.2792597933189137,0.17047355407075085,0.1263216784008131,0.6372093023255814,0.9306693306693307,0.3627906976744186,0.6498738148025851,0.17061148105913806,7.953066785046823
PostDP_Laplace_RF_proba,POSTPROCESSING_DP,1.0,1e-05,1.0,0.6185967467831998,0.5959906717297986,0.16105327617881202,0.5668103448275862,0.2508345255126371,0.1240846479552873,0.0914292501992735,0.625170998632011,0.919147224456959,0.3748290013679891,0.608839007736214,0.14846171456652008,8.453026127893649
PostDP_Gaussian_LR_proba,POSTPROCESSING_DP,1.0,1e-05,1.0,0.5207574654042243,0.5262785095995095,0.12344139650872818,0.5334051724137931,0.20048602673147023,0.03324480018106047,0.021454005459750514,0.5191518467852257,0.8975875118259224,0.48084815321477425,0.5220296358318789,0.11768018150722503,15.184662831686188
PostDP_Gaussian_RF_proba,POSTPROCESSING_DP,1.0,1e-05,1.0,0.5275552318523914,0.5221121868956082,0.12193877551020409,0.5150862068965517,0.1971947194719472,0.027996904518981864,0.018370045175012728,0.5291381668946649,0.8957850856878184,0.47086183310533514,0.5256828152271333,0.11997979014841634,14.86633767894174
PreDP_Laplace_LR,PREPROCESSING_DP,5.0,1e-05,5.0,0.8049283806749211,0.8251677555545074,0.34971226206285966,0.8512931034482759,0.4957640414182617,0.46089049681024347,0.3999372308753383,0.7990424076607388,0.9769192172604114,0.20095759233926128,0.9108323211000519,0.5802716777779166,0.48055259053788113
PreDP_Gaussian_LR,PREPROCESSING_DP,5.0,1e-05,5.0,0.7504248604030105,0.7540025472899665,0.277602523659306,0.7586206896551724,0.4064665127020785,0.3479465327609874,0.2892320211958094,0.7493844049247605,0.9607155384075763,0.2506155950752394,0.8745027772536441,0.5122289830174944,0.6538218321956523
DP_SGD_Linear_Opacus,DP_SGD,5.0,1e-05,4.991977972105703,0.9089584850691915,0.6716385501674607,0.678,0.36530172413793105,0.47478991596638653,0.45454631864392403,0.4298101194330235,0.9779753761969904,0.9238821400878781,0.022024623803009576,0.9356017677720648,0.6201339973987521,0.23531146726128296
PostDP_Laplace_LR_proba,POSTPROCESSING_DP,5.0,1e-05,5.0,0.822893906287934,0.8291757571111844,0.3726618705035971,0.8372844827586207,0.5157650182542317,0.4787337307282665,0.42632569362886397,0.8210670314637483,0.9754591256297741,0.1789329685362517,0.8920279995518655,0.4541976895572217,1.4168151135813438
PostDP_Laplace_RF_proba,POSTPROCESSING_DP,5.0,1e-05,5.0,0.8254430687059966,0.795332621821784,0.3667711598746082,0.7564655172413793,0.494018296973962,0.44218824757826086,0.4035127471222072,0.8341997264021888,0.9642631246046806,0.16580027359781122,0.8646066736638521,0.4140186701556139,0.9552235502911146
